run_dir,best_model_checkpoint,best_metric,global_step
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed42_20260702_095119/checkpoints/checkpoint-3405,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed42_20260702_095119/checkpoints/checkpoint-2270,0.610311685336901,3405
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed0_20260702_104032/checkpoints/checkpoint-2270,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed0_20260702_104032/checkpoints/checkpoint-2270,0.6278065504100458,2270
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed0_20260702_104032/checkpoints/checkpoint-3405,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed0_20260702_104032/checkpoints/checkpoint-2270,0.6278065504100458,3405
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed1_20260702_104729/checkpoints/checkpoint-2270,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed1_20260702_104729/checkpoints/checkpoint-2270,0.6214262708599051,2270
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed1_20260702_104729/checkpoints/checkpoint-3405,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed1_20260702_104729/checkpoints/checkpoint-3405,0.6249050523490857,3405
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed42_20260702_103333/checkpoints/checkpoint-2270,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed42_20260702_103333/checkpoints/checkpoint-2270,0.6246118200448951,2270
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed42_20260702_103333/checkpoints/checkpoint-3405,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed42_20260702_103333/checkpoints/checkpoint-3405,0.628644351121701,3405
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed0_20260702_091615/checkpoints/checkpoint-2270,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed0_20260702_091615/checkpoints/checkpoint-2270,0.6204577309501698,2270
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed0_20260702_091615/checkpoints/checkpoint-3405,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed0_20260702_091615/checkpoints/checkpoint-2270,0.6204577309501698,3405
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed1_20260702_092312/checkpoints/checkpoint-2270,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed1_20260702_092312/checkpoints/checkpoint-2270,0.6041463679119902,2270
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed1_20260702_092312/checkpoints/checkpoint-3405,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed1_20260702_092312/checkpoints/checkpoint-3405,0.6199426079555673,3405
